starting llama-server on :8899
server up after 6s
questions: 3240
answer letters " A".." D" -> token ids [357, 417, 351, 414]
  [0/3240] acc=0.0000  0.38s/q  eta 20.5 min
  [100/3240] acc=0.8119  0.46s/q  eta 23.9 min
  [200/3240] acc=0.6915  0.47s/q  eta 23.6 min
  [300/3240] acc=0.7841  0.47s/q  eta 23.0 min
  [400/3240] acc=0.8329  0.47s/q  eta 22.3 min
  [500/3240] acc=0.8523  0.47s/q  eta 21.5 min
  [600/3240] acc=0.8669  0.47s/q  eta 20.6 min
  [700/3240] acc=0.8802  0.47s/q  eta 19.8 min
  [800/3240] acc=0.8826  0.47s/q  eta 19.0 min
  [900/3240] acc=0.8812  0.47s/q  eta 18.2 min
  [1000/3240] acc=0.8731  0.47s/q  eta 17.4 min
  [1100/3240] acc=0.8665  0.47s/q  eta 16.6 min
  [1200/3240] acc=0.8618  0.47s/q  eta 15.8 min
  [1300/3240] acc=0.8486  0.46s/q  eta 15.0 min
  [1400/3240] acc=0.8301  0.46s/q  eta 14.2 min
  [1500/3240] acc=0.8195  0.46s/q  eta 13.3 min
  [1600/3240] acc=0.8095  0.46s/q  eta 12.5 min
  [1700/3240] acc=0.7989  0.46s/q  eta 11.8 min
  [1800/3240] acc=0.7885  0.46s/q  eta 11.0 min
  [1900/3240] acc=0.7822  0.46s/q  eta 10.2 min
  [2000/3240] acc=0.7796  0.45s/q  eta 9.4 min
  [2100/3240] acc=0.7720  0.45s/q  eta 8.6 min
  [2200/3240] acc=0.7769  0.45s/q  eta 7.9 min
  [2300/3240] acc=0.7771  0.46s/q  eta 7.1 min
  [2400/3240] acc=0.7788  0.46s/q  eta 6.4 min
  [2500/3240] acc=0.7777  0.46s/q  eta 5.6 min
  [2600/3240] acc=0.7766  0.46s/q  eta 4.9 min
  [2700/3240] acc=0.7801  0.47s/q  eta 4.2 min
  [2800/3240] acc=0.7826  0.47s/q  eta 3.4 min
  [2900/3240] acc=0.7866  0.47s/q  eta 2.7 min
  [3000/3240] acc=0.7917  0.47s/q  eta 1.9 min
  [3100/3240] acc=0.7946  0.47s/q  eta 1.1 min
  [3200/3240] acc=0.7969  0.47s/q  eta 0.3 min
  [3239/3240] acc=0.7988  0.47s/q  eta 0.0 min

llama.cpp MMLU accuracy: 2588/3240 = 0.7988
  95% CI: [0.7846, 0.8122]
  questions where the top-1000 list omitted a letter: 3/3240 (0.09%)

  business_ethics                            81/100  0.810
  global_facts                               57/100  0.570
  high_school_government_and_politics       188/193  0.974
  human_sexuality                           123/131  0.939
  management                                 94/103  0.913
  marketing                                 222/234  0.949
  moral_disputes                            276/346  0.798
  moral_scenarios                           582/895  0.650
  philosophy                                258/311  0.830
  public_relations                           82/110  0.745
  security_studies                          200/245  0.816
  sociology                                 181/201  0.900
  us_foreign_policy                          93/100  0.930
  world_religions                           151/171  0.883
  wall 1529.3s
wrote bench/mmlu/llamacpp.json
